title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Brain complex network analysis by means of resting state fMRI and graph analysis: will it be helpful in clinical epilepsy?,"H Onias, A Viol, F Palhano-Fontes, KC Andrade…",2014,85,"… the ongoing fMRI signals when individuals are at rest. These datasets have been largely analyzed in the context of functional connectivity, which inspects the covariance of fMRI signals …",Sd9FRVcWoi8J,"H Onias, A Viol, F Palhano-Fontes, KC Andrade… - Epilepsy & Behavior, 2014 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S1525505013006173,unknown,unknown
Hemodynamic response function (HRF) variability confounds resting‐state fMRI functional connectivity,"D Rangaprakash, GR Wu, D Marinazzo…",2018,153,"… Here, we present the graphs for ΔFC versus ΔRH (Figure 3A), ΔFC versus ΔTTP (Figure 3B), ΔFC versus ΔFWHM (Figure 3C), and ΔFC versus absolute neural-FC (Figure 3D). …",WXhKWSeo1K8J,"D Rangaprakash, GR Wu, D Marinazzo… - Magnetic resonance …, 2018 - Wiley Online Library",[],https://onlinelibrary.wiley.com/doi/abs/10.1002/mrm.27146,unknown,unknown
Resting-state functional connectivity in autism spectrum disorders: a review,"JV Hull, LB Dokovna, ZJ Jacokes…",2017,696,"… of the study, resting-state fMRI data were used to calculate global functional connectivity density, … A recent increase in the use of graph theory and network analysis of FC in rs-fMRI has …",GeA-4xpCWkkJ,"JV Hull, LB Dokovna, ZJ Jacokes… - Frontiers in …, 2017 - frontiersin.org",[],https://www.frontiersin.org/journals/psychiatry/articles/10.3389/fpsyt.2016.00205/full,unknown,unknown
Connectivity graph analysis of the auditory resting state network in tinnitus,"A Maudoux, P Lefebvre, JE Cabay, A Demertzi…",2012,214,… Our results show a modified functional connectivity pattern in tinnitus sufferers and highlight the role of the parahippocampal region in tinnitus physiopathology. They also point out the …,IwTKd2LstO0J,"A Maudoux, P Lefebvre, JE Cabay, A Demertzi… - Brain research, 2012 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0006899312008438,unknown,unknown
Decoding brain states from fMRI connectivity graphs,"J Richiardi, H Eryilmaz, S Schwartz, P Vuilleumier…",2011,400,Functional connectivity analysis of fMRI data can reveal … characteristic connectivity signatures of different brain states … Exploiting multi-band classification of connectivity graphs is also …,ud7S_frspJwJ,"J Richiardi, H Eryilmaz, S Schwartz, P Vuilleumier… - Neuroimage, 2011 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S1053811910008335,unknown,unknown
Test-retest reliability of graph metrics of resting state MRI functional brain networks: A review,"M Andellini, V Cannatà, S Gazzellini, B Bernardi…",2015,140,… explore the overall structure of local and global functional connectivity in the brain. Due to its … in network reliability which apply graph theory to analyze connectome resting state networks…,_9A_TwK2m8cJ,"M Andellini, V Cannatà, S Gazzellini, B Bernardi… - Journal of neuroscience …, 2015 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0165027015002113,unknown,unknown
Graph theory analysis of functional connectivity in major depression disorder with high-density resting state EEG data,"S Sun, X Li, J Zhu, Y Wang, R La…",2019,194,"… used to obtain the functional connectivity matrices from fMRI, MEG and … functional connectivity of MDD at resting state based on sensor layer EEG signals. But the functional connectivity …",PYcxhcJBPXgJ,"S Sun, X Li, J Zhu, Y Wang, R La… - … on Neural Systems …, 2019 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/8624575/,unknown,unknown
The influence of preprocessing steps on graph theory measures derived from resting state fMRI,"F Gargouri, F Kallel, S Delphine…",2018,58,"… of the preprocessing steps impacted the graph theory measures. Overall, our results confirmed that graph theory measures of functional connectivity depend on the ordering of the …",3wsVcorqaOMJ,"F Gargouri, F Kallel, S Delphine… - Frontiers in …, 2018 - frontiersin.org",[],https://www.frontiersin.org/journals/computational-neuroscience/articles/10.3389/fncom.2018.00008/full,unknown,unknown
Identifying sparse connectivity patterns in the brain using resting-state fMRI,"H Eavani, TD Satterthwaite, R Filipovych, RE Gur…",2015,124,… Our results from simulated as well as real resting state fMRI data show that SCPs are … of intrinsic functional connectivity and provide novel insights into the functional organization …,AMv8Fevcfa4J,"H Eavani, TD Satterthwaite, R Filipovych, RE Gur… - Neuroimage, 2015 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S1053811914008003,unknown,unknown
Resting-state fMRI: a review of methods and clinical applications,"MH Lee, CD Smyser, JS Shimony",2013,1643,"… at rest, termed resting-state fMRI or functional connectivity MR imaging. RS-fMRI investigates … . Undirected graphs of frequency-dependent functional connectivity in whole brain networks…",AiIHJdPlVHwJ,"MH Lee, CD Smyser, JS Shimony - American Journal of neuroradiology, 2013 - ajnr.org",[],https://www.ajnr.org/content/34/10/1866.short,unknown,unknown
Resting state fMRI functional connectivity analysis using dynamic time warping,"RJ Meszlényi, P Hermann, K Buza, V Gál…",2017,120,… We tested our method using resting-state fMRI data from repeated … resting-state functional connectivity using DTW provides an efficient new way for characterizing functional …,x6AKa_w1e-gJ,"RJ Meszlényi, P Hermann, K Buza, V Gál… - Frontiers in …, 2017 - frontiersin.org",[],https://www.frontiersin.org/journals/neuroscience/articles/10.3389/fnins.2017.00075/full,unknown,unknown
Functional connectivity changes in multiple sclerosis patients: a graph analytical study of MEG resting state data,"MM Schoonheim, JJG Geurts, D Landi…",2013,143,"… by graph analytical … functional changes and clinical/cognitive functioning in MS is as of yet unclear. In this study, we used resting-state MEG to study changes in functional connectivity in …",jKUUCqQHGcQJ,"MM Schoonheim, JJG Geurts, D Landi… - Human brain …, 2013 - Wiley Online Library",[],https://onlinelibrary.wiley.com/doi/abs/10.1002/hbm.21424,unknown,unknown
Language in the brain at rest: new insights from resting state data and graph theoretical analysis,"AM Muller, M Meyer",2014,100,"… the meaning of anticorrelated nodes in a specific functional network, we decided to perform all further modularity and all graph analyses on the network of these 16 nodes, which had …",-V5bgT49lEAJ,"AM Muller, M Meyer - Frontiers in human neuroscience, 2014 - frontiersin.org",[],https://www.frontiersin.org/journals/human-neuroscience/articles/10.3389/fnhum.2014.00228/full,unknown,unknown
Modeling the outcome of structural disconnection on resting-state functional connectivity,"J Cabral, E Hugues, ML Kringelbach, G Deco",2012,212,"… healthy resting-state functional connectivity with graph properties … connectivity is decreased, either globally or locally, the resultant simulated functional connectivity exhibited a network …",FxklZ2FlSFkJ,"J Cabral, E Hugues, ML Kringelbach, G Deco - Neuroimage, 2012 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S1053811912005848,unknown,unknown
Brain connections-resting state fMRI functional connectivity,"M De La Iglesia-vaya, J Molina-Mateo…",2013,27,… Applying graph theory to resting state fMRI data involves assigning nodes to various regions of interest. A functional connectivity graph is generated once edges are assigned to connect …,9g9mekPa0sIJ,"M De La Iglesia-vaya, J Molina-Mateo… - Novel frontiers of …, 2013 - books.google.com",[],https://books.google.com/books?hl=en&lr=&id=-92dDwAAQBAJ&oi=fnd&pg=PA51&dq=resting+state+fMRI+functional+connectivity+graph&ots=TviaD0Hyr0&sig=_GQRUIi9lmqcgVYANgdBZl0MVeI,unknown,unknown
Quantifying temporal correlations: A test–retest evaluation of functional connectivity in resting-state fMRI,"M Fiecas, H Ombao, D Van Lunen, R Baumgartner…",2013,103,… –retest resting-state fMRI data set to perform a systematic investigation of the stability of the metrics that are often used in resting-state functional connectivity (FC) studies. The fMRI data …,N-8BYA7V4sEJ,"M Fiecas, H Ombao, D Van Lunen, R Baumgartner… - NeuroImage, 2013 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S1053811912009627,unknown,unknown
Classification of patients with MCI and AD from healthy controls using directed graph measures of resting-state fMRI,"A Khazaee, A Ebrahimzadeh, A Babajani-Feremi…",2017,211,"… resting-state functional magnetic resonance imaging (rs-fMRI) data of 34 AD, 89 MCI, and 45 HC to calculate various directed graph … the potential of directed graph measures of rs-fMRI …",c3icUtdXn00J,"A Khazaee, A Ebrahimzadeh, A Babajani-Feremi… - Behavioural brain …, 2017 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0166432816304077,unknown,unknown
Reliability of graph analysis of resting state fMRI using test-retest dataset from the Human Connectome Project,"M Termenon, A Jaillard, C Delon-Martin, S Achard",2016,196,"… resting-state fMRI (rs-fMRI) combined with graph theoretical approaches has become popular, with the perspective of finding network graph … of the graph based connectivity metrics. In …",Djz5D1kZFMIJ,"M Termenon, A Jaillard, C Delon-Martin, S Achard - Neuroimage, 2016 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S1053811916301823,unknown,unknown
"Altered resting state brain dynamics in temporal lobe epilepsy can be observed in spectral power, functional connectivity and graph theory metrics","MA Quraan, C McCormick, M Cohn, TA Valiante…",2013,116,"… , the epileptic brain differs in its global network characteristics from the healthy brain. To … connectivity and graph theory metrics to investigate the reorganization of resting state functional …",YeZSs-kgD30J,"MA Quraan, C McCormick, M Cohn, TA Valiante… - PloS one, 2013 - journals.plos.org",[],https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0068609,unknown,unknown
